77029,"The Beatles","United Kingdom",1962-10-30,2013-12-08
billboard-us,5,1965-03-06,ms008493,"Eight Days A Week"
billboard-us,1,1965-03-13,ms008493,"Eight Days A Week"
billboard-us,1,1965-03-20,ms008493,"Eight Days A Week"
billboard-us,4,1965-03-27,ms008493,"Eight Days A Week"
billboard-us,7,1965-04-03,ms008493,"Eight Days A Week"
billboard-us,11,1965-04-10,ms008493,"Eight Days A Week"
billboard-us,17,1965-04-17,ms008493,"Eight Days A Week"
billboard-us,38,1965-04-24,ms008493,"Eight Days A Week"
billboard-us,25,1966-03-05,ms008506,"Nowhere Man"
billboard-us,7,1966-03-12,ms008506,"Nowhere Man"
billboard-us,4,1966-03-19,ms008506,"Nowhere Man"
billboard-us,3,1966-03-26,ms008506,"Nowhere Man"
billboard-us,6,1966-04-02,ms008506,"Nowhere Man"
billboard-us,6,1966-04-09,ms008506,"Nowhere Man"
billboard-us,11,1966-04-16,ms008506,"Nowhere Man"
billboard-us,13,1966-04-23,ms008506,"Nowhere Man"
billboard-us,28,1966-04-30,ms008506,"Nowhere Man"
billboard-us,65,1964-04-04,ms008581,"You Can't Do That"
billboard-us,48,1964-04-11,ms008581,"You Can't Do That"
billboard-us,55,1964-04-18,ms008581,"You Can't Do That"
billboard-us,60,1964-04-25,ms008581,"You Can't Do That"
billboard-us,68,1964-02-08,ms008784,"I Saw Her Standing There"
billboard-us,54,1964-02-15,ms008784,"I Saw Her Standing There"
billboard-us,35,1964-02-22,ms008784,"I Saw Her Standing There"
billboard-us,28,1964-02-29,ms008784,"I Saw Her Standing There"
billboard-us,18,1964-03-07,ms008784,"I Saw Her Standing There"
billboard-us,15,1964-03-14,ms008784,"I Saw Her Standing There"
billboard-us,14,1964-03-21,ms008784,"I Saw Her Standing There"
billboard-us,26,1964-03-28,ms008784,"I Saw Her Standing There"
billboard-us,31,1964-04-04,ms008784,"I Saw Her Standing There"
billboard-us,38,1964-04-11,ms008784,"I Saw Her Standing There"
billboard-us,45,1964-04-18,ms008784,"I Saw Her Standing There"
billboard-us,88,1964-04-18,ms008829,Why
billboard-us,86,1964-03-07,ms008928,"From Me To You"
billboard-us,73,1964-03-14,ms008928,"From Me To You"
billboard-us,58,1964-03-21,ms008928,"From Me To You"
billboard-us,50,1964-03-28,ms008928,"From Me To You"
billboard-us,41,1964-04-04,ms008928,"From Me To You"
billboard-us,52,1964-04-11,ms008928,"From Me To You"
billboard-us,74,1964-04-11,ms008964,"There's A Place"
billboard-us,79,1964-03-21,ms008985,"Roll Over Beethoven"
billboard-us,75,1964-03-28,ms008985,"Roll Over Beethoven"
billboard-us,68,1964-04-04,ms008985,"Roll Over Beethoven"
billboard-us,78,1964-04-11,ms008985,"Roll Over Beethoven"
billboard-us,85,1967-02-25,ms009097,"Penny Lane"
billboard-us,36,1967-03-04,ms009097,"Penny Lane"
billboard-us,5,1967-03-11,ms009097,"Penny Lane"
billboard-us,1,1967-03-18,ms009097,"Penny Lane"
billboard-us,3,1967-03-25,ms009097,"Penny Lane"
billboard-us,3,1967-04-01,ms009097,"Penny Lane"
billboard-us,6,1967-04-08,ms009097,"Penny Lane"
billboard-us,12,1967-04-15,ms009097,"Penny Lane"
billboard-us,21,1967-04-22,ms009097,"Penny Lane"
billboard-us,25,1967-04-29,ms009097,"Penny Lane"
billboard-us,81,1965-02-20,ms009225,"I Don't Want To Spoil The Party"
billboard-us,59,1965-02-27,ms009225,"I Don't Want To Spoil The Party"
billboard-us,47,1965-03-06,ms009225,"I Don't Want To Spoil The Party"
billboard-us,44,1965-03-13,ms009225,"I Don't Want To Spoil The Party"
billboard-us,39,1965-03-20,ms009225,"I Don't Want To Spoil The Party"
billboard-us,44,1965-03-27,ms009225,"I Don't Want To Spoil The Party"
billboard-us,81,1965-02-27,ms009259,"4 - By The Beatles"
billboard-us,77,1965-03-06,ms009259,"4 - By The Beatles"
billboard-us,73,1965-03-13,ms009259,"4 - By The Beatles"
billboard-us,70,1965-03-20,ms009259,"4 - By The Beatles"
billboard-us,68,1965-03-27,ms009259,"4 - By The Beatles"
billboard-us,83,1967-02-25,ms009334,"Strawberry Fields Forever"
billboard-us,45,1967-03-04,ms009334,"Strawberry Fields Forever"
billboard-us,16,1967-03-11,ms009334,"Strawberry Fields Forever"
billboard-us,11,1967-03-18,ms009334,"Strawberry Fields Forever"
billboard-us,11,1967-03-25,ms009334,"Strawberry Fields Forever"
billboard-us,8,1967-04-01,ms009334,"Strawberry Fields Forever"
billboard-us,15,1967-04-08,ms009334,"Strawberry Fields Forever"
billboard-us,21,1967-04-15,ms009334,"Strawberry Fields Forever"
billboard-us,28,1967-04-22,ms009334,"Strawberry Fields Forever"
billboard-us,67,1964-02-15,ms009471,"My Bonnie (My Bonnie Lies Over The Ocean)"
billboard-us,54,1964-02-22,ms009471,"My Bonnie (My Bonnie Lies Over The Ocean)"
billboard-us,42,1964-02-29,ms009471,"My Bonnie (My Bonnie Lies Over The Ocean)"
billboard-us,31,1964-03-07,ms009471,"My Bonnie (My Bonnie Lies Over The Ocean)"
billboard-us,26,1964-03-14,ms009471,"My Bonnie (My Bonnie Lies Over The Ocean)"
billboard-us,42,1964-03-21,ms009471,"My Bonnie (My Bonnie Lies Over The Ocean)"
billboard-us,89,1966-03-12,ms009725,"What Goes On"
billboard-us,81,1966-03-19,ms009725,"What Goes On"
billboard-us,23,1968-03-23,ms010176,"Lady Madonna"
billboard-us,9,1968-03-30,ms010176,"Lady Madonna"
billboard-us,7,1968-04-06,ms010176,"Lady Madonna"
billboard-us,6,1968-04-13,ms010176,"Lady Madonna"
billboard-us,4,1968-04-20,ms010176,"Lady Madonna"
billboard-us,4,1968-04-27,ms010176,"Lady Madonna"
billboard-us,4,1968-05-04,ms010176,"Lady Madonna"
billboard-us,10,1968-05-11,ms010176,"Lady Madonna"
billboard-us,15,1968-05-18,ms010176,"Lady Madonna"
billboard-us,31,1968-05-25,ms010176,"Lady Madonna"
billboard-us,44,1968-06-01,ms010176,"Lady Madonna"
billboard-us,79,1976-11-20,ms010965,"Ob-La-Di, Ob-La-Da"
billboard-us,69,1976-11-27,ms010965,"Ob-La-Di, Ob-La-Da"
billboard-us,59,1976-12-04,ms010965,"Ob-La-Di, Ob-La-Da"
billboard-us,49,1976-12-11,ms010965,"Ob-La-Di, Ob-La-Da"
billboard-us,49,1976-12-18,ms010965,"Ob-La-Di, Ob-La-Da"
billboard-us,71,1976-12-25,ms010965,"Ob-La-Di, Ob-La-Da"
billboard-us,71,1977-01-01,ms010965,"Ob-La-Di, Ob-La-Da"
billboard-us,87,1978-09-16,ms012002,"Sgt. Pepper's Lonely Hearts Club Band/ With A Little Help From My Friends"
billboard-us,83,1978-09-23,ms012002,"Sgt. Pepper's Lonely Hearts Club Band/ With A Little Help From My Friends"
billboard-us,71,1978-09-30,ms012002,"Sgt. Pepper's Lonely Hearts Club Band/ With A Little Help From My Friends"
billboard-us,71,1978-10-07,ms012002,"Sgt. Pepper's Lonely Hearts Club Band/ With A Little Help From My Friends"
billboard-us,75,1978-10-14,ms012002,"Sgt. Pepper's Lonely Hearts Club Band/ With A Little Help From My Friends"
billboard-us,94,1978-10-21,ms012002,"Sgt. Pepper's Lonely Hearts Club Band/ With A Little Help From My Friends"
billboard-us,91,1978-10-28,ms012002,"Sgt. Pepper's Lonely Hearts Club Band/ With A Little Help From My Friends"
billboard-us,54,1976-06-12,ms013710,"Got To Get You Into My Life"
billboard-us,29,1976-06-19,ms013710,"Got To Get You Into My Life"
billboard-us,18,1976-06-26,ms013710,"Got To Get You Into My Life"
billboard-us,12,1976-07-04,ms013710,"Got To Get You Into My Life"
billboard-us,10,1976-07-10,ms013710,"Got To Get You Into My Life"
billboard-us,8,1976-07-17,ms013710,"Got To Get You Into My Life"
billboard-us,7,1976-07-24,ms013710,"Got To Get You Into My Life"
billboard-us,7,1976-07-31,ms013710,"Got To Get You Into My Life"
billboard-us,7,1976-08-07,ms013710,"Got To Get You Into My Life"
billboard-us,19,1976-08-14,ms013710,"Got To Get You Into My Life"
billboard-us,23,1976-08-21,ms013710,"Got To Get You Into My Life"
billboard-us,38,1976-08-28,ms013710,"Got To Get You Into My Life"
billboard-us,53,1976-09-04,ms013710,"Got To Get You Into My Life"
billboard-us,60,1976-09-11,ms013710,"Got To Get You Into My Life"
billboard-us,59,1976-09-18,ms013710,"Got To Get You Into My Life"
billboard-us,99,1976-09-25,ms013710,"Got To Get You Into My Life"
billboard-us,96,1968-03-30,ms014241,"The Inner Light"
billboard-us,70,1982-03-27,ms019569,"The Beatles' Movie Medley"
billboard-us,50,1982-04-03,ms019569,"The Beatles' Movie Medley"
billboard-us,34,1982-04-10,ms019569,"The Beatles' Movie Medley"
billboard-us,22,1982-04-17,ms019569,"The Beatles' Movie Medley"
billboard-us,17,1982-04-24,ms019569,"The Beatles' Movie Medley"
billboard-us,14,1982-05-01,ms019569,"The Beatles' Movie Medley"
billboard-us,12,1982-05-08,ms019569,"The Beatles' Movie Medley"
billboard-us,12,1982-05-15,ms019569,"The Beatles' Movie Medley"
billboard-us,12,1982-05-22,ms019569,"The Beatles' Movie Medley"
billboard-us,20,1982-05-29,ms019569,"The Beatles' Movie Medley"
billboard-us,92,1982-06-05,ms019569,"The Beatles' Movie Medley"
billboard-us,10,1995-12-30,ms026553,"Free As A Bird"
billboard-us,6,1996-01-06,ms026553,"Free As A Bird"
billboard-us,15,1996-01-13,ms026553,"Free As A Bird"
billboard-us,32,1996-01-20,ms026553,"Free As A Bird"
billboard-us,57,1996-01-27,ms026553,"Free As A Bird"
billboard-us,63,1996-02-03,ms026553,"Free As A Bird"
billboard-us,77,1996-02-10,ms026553,"Free As A Bird"
billboard-us,91,1996-02-17,ms026553,"Free As A Bird"
billboard-us,98,1996-02-24,ms026553,"Free As A Bird"
billboard-us,93,1996-03-02,ms026553,"Free As A Bird"
billboard-us,99,1996-03-09,ms026553,"Free As A Bird"
billboard-us,11,1996-03-23,ms029605,"Real Love"
billboard-us,26,1996-03-30,ms029605,"Real Love"
billboard-us,21,1996-04-06,ms029605,"Real Love"
billboard-us,54,1996-04-13,ms029605,"Real Love"
billboard-us,60,1996-04-20,ms029605,"Real Love"
billboard-us,70,1996-04-27,ms029605,"Real Love"
billboard-us,88,1996-05-04,ms029605,"Real Love"
billboard-us,67,1995-04-22,ms031239,"Baby It's You"
billboard-us,79,1995-04-29,ms031239,"Baby It's You"
billboard-us,89,1995-05-06,ms031239,"Baby It's You"
billboard-us,99,1995-05-13,ms031239,"Baby It's You"
top100-uk,6,1964-12-01,ms000031,"I Feel Fine"
top100-uk,1,1964-12-08,ms000031,"I Feel Fine"
top100-uk,1,1964-12-15,ms000031,"I Feel Fine"
top100-uk,1,1964-12-22,ms000031,"I Feel Fine"
top100-uk,1,1964-12-29,ms000031,"I Feel Fine"
top100-uk,1,1965-01-05,ms000031,"I Feel Fine"
top100-uk,2,1965-01-12,ms000031,"I Feel Fine"
top100-uk,7,1965-01-19,ms000031,"I Feel Fine"
top100-uk,13,1965-01-26,ms000031,"I Feel Fine"
top100-uk,19,1965-02-02,ms000031,"I Feel Fine"
top100-uk,25,1965-02-09,ms000031,"I Feel Fine"
top100-uk,38,1965-02-16,ms000031,"I Feel Fine"
top100-uk,9,1967-11-27,ms000131,"Hello Goodbye"
top100-uk,1,1967-12-04,ms000131,"Hello Goodbye"
top100-uk,1,1967-12-11,ms000131,"Hello Goodbye"
top100-uk,1,1967-12-18,ms000131,"Hello Goodbye"
top100-uk,1,1967-12-25,ms000131,"Hello Goodbye"
top100-uk,1,1968-01-01,ms000131,"Hello Goodbye"
top100-uk,1,1968-01-08,ms000131,"Hello Goodbye"
top100-uk,1,1968-01-15,ms000131,"Hello Goodbye"
top100-uk,8,1968-01-22,ms000131,"Hello Goodbye"
top100-uk,16,1968-01-29,ms000131,"Hello Goodbye"
top100-uk,30,1968-02-05,ms000131,"Hello Goodbye"
top100-uk,21,1968-09-02,ms000409,"Hey Jude"
top100-uk,1,1968-09-09,ms000409,"Hey Jude"
top100-uk,1,1968-09-16,ms000409,"Hey Jude"
top100-uk,2,1968-09-23,ms000409,"Hey Jude"
top100-uk,2,1968-09-30,ms000409,"Hey Jude"
top100-uk,4,1968-10-07,ms000409,"Hey Jude"
top100-uk,3,1968-10-14,ms000409,"Hey Jude"
top100-uk,2,1968-10-21,ms000409,"Hey Jude"
top100-uk,7,1968-10-28,ms000409,"Hey Jude"
top100-uk,10,1968-11-04,ms000409,"Hey Jude"
top100-uk,11,1968-11-11,ms000409,"Hey Jude"
top100-uk,24,1968-11-18,ms000409,"Hey Jude"
top100-uk,25,1968-11-25,ms000409,"Hey Jude"
top100-uk,30,1968-12-02,ms000409,"Hey Jude"
top100-uk,22,1976-04-01,ms000409,"Hey Jude"
top100-uk,18,1976-04-08,ms000409,"Hey Jude"
top100-uk,12,1976-04-15,ms000409,"Hey Jude"
top100-uk,12,1976-04-22,ms000409,"Hey Jude"
top100-uk,18,1976-04-29,ms000409,"Hey Jude"
top100-uk,33,1976-05-06,ms000409,"Hey Jude"
top100-uk,40,2010-11-18,ms000409,"Hey Jude"
top100-uk,47,2010-11-25,ms000409,"Hey Jude"
top100-uk,99,2010-12-02,ms000409,"Hey Jude"
top100-uk,83,2010-11-18,ms000664,"Come Together"
top100-uk,81,2010-11-25,ms000664,"Come Together"
top100-uk,17,1976-03-18,ms002171,Yesterday
top100-uk,10,1976-03-25,ms002171,Yesterday
top100-uk,8,1976-04-01,ms002171,Yesterday
top100-uk,9,1976-04-08,ms002171,Yesterday
top100-uk,13,1976-04-15,ms002171,Yesterday
top100-uk,18,1976-04-22,ms002171,Yesterday
top100-uk,86,2010-11-18,ms002171,Yesterday
top100-uk,92,2010-11-25,ms002171,Yesterday
top100-uk,5,1965-07-27,ms003290,Help!
top100-uk,1,1965-08-03,ms003290,Help!
top100-uk,1,1965-08-10,ms003290,Help!
top100-uk,1,1965-08-17,ms003290,Help!
top100-uk,2,1965-08-24,ms003290,Help!
top100-uk,2,1965-08-31,ms003290,Help!
top100-uk,5,1965-09-07,ms003290,Help!
top100-uk,8,1965-09-14,ms003290,Help!
top100-uk,13,1965-09-21,ms003290,Help!
top100-uk,18,1965-09-28,ms003290,Help!
top100-uk,23,1965-10-05,ms003290,Help!
top100-uk,23,1965-10-12,ms003290,Help!
top100-uk,29,1965-10-19,ms003290,Help!
top100-uk,40,1965-10-26,ms003290,Help!
top100-uk,37,1976-04-15,ms003290,Help!
top100-uk,94,2010-11-18,ms003779,"Eleanor Rigby"
top100-uk,3,1964-07-14,ms003956,"A Hard Day's Night"
top100-uk,1,1964-07-21,ms003956,"A Hard Day's Night"
top100-uk,1,1964-07-28,ms003956,"A Hard Day's Night"
top100-uk,1,1964-08-04,ms003956,"A Hard Day's Night"
top100-uk,2,1964-08-11,ms003956,"A Hard Day's Night"
top100-uk,2,1964-08-18,ms003956,"A Hard Day's Night"
top100-uk,5,1964-08-25,ms003956,"A Hard Day's Night"
top100-uk,6,1964-09-01,ms003956,"A Hard Day's Night"
top100-uk,10,1964-09-08,ms003956,"A Hard Day's Night"
top100-uk,15,1964-09-15,ms003956,"A Hard Day's Night"
top100-uk,19,1964-09-22,ms003956,"A Hard Day's Night"
top100-uk,24,1964-09-29,ms003956,"A Hard Day's Night"
top100-uk,28,1964-10-06,ms003956,"A Hard Day's Night"
top100-uk,29,1964-06-16,ms004661,"Ain't She Sweet"
top100-uk,30,1964-06-23,ms004661,"Ain't She Sweet"
top100-uk,29,1964-06-30,ms004661,"Ain't She Sweet"
top100-uk,29,1964-07-07,ms004661,"Ain't She Sweet"
top100-uk,2,1967-07-10,ms004877,"All You Need Is Love"
top100-uk,1,1967-07-17,ms004877,"All You Need Is Love"
top100-uk,1,1967-07-24,ms004877,"All You Need Is Love"
top100-uk,1,1967-07-31,ms004877,"All You Need Is Love"
top100-uk,2,1967-08-07,ms004877,"All You Need Is Love"
top100-uk,2,1967-08-14,ms004877,"All You Need Is Love"
top100-uk,3,1967-08-21,ms004877,"All You Need Is Love"
top100-uk,6,1967-08-28,ms004877,"All You Need Is Love"
top100-uk,13,1967-09-04,ms004877,"All You Need Is Love"
top100-uk,15,1967-09-11,ms004877,"All You Need Is Love"
top100-uk,21,1967-09-18,ms004877,"All You Need Is Love"
top100-uk,27,1967-09-25,ms004877,"All You Need Is Love"
top100-uk,40,1967-10-02,ms004877,"All You Need Is Love"
top100-uk,2,1966-06-14,ms005754,"Paperback Writer"
top100-uk,1,1966-06-21,ms005754,"Paperback Writer"
top100-uk,1,1966-06-28,ms005754,"Paperback Writer"
top100-uk,2,1966-07-05,ms005754,"Paperback Writer"
top100-uk,7,1966-07-12,ms005754,"Paperback Writer"
top100-uk,14,1966-07-19,ms005754,"Paperback Writer"
top100-uk,19,1966-07-26,ms005754,"Paperback Writer"
top100-uk,21,1966-08-02,ms005754,"Paperback Writer"
top100-uk,30,1966-08-09,ms005754,"Paperback Writer"
top100-uk,40,1966-08-16,ms005754,"Paperback Writer"
top100-uk,27,1976-04-01,ms005754,"Paperback Writer"
top100-uk,23,1976-04-08,ms005754,"Paperback Writer"
top100-uk,27,1976-04-15,ms005754,"Paperback Writer"
top100-uk,37,1976-04-22,ms005754,"Paperback Writer"
top100-uk,4,1969-06-02,ms006377,"The Ballad Of John And Yoko"
top100-uk,1,1969-06-09,ms006377,"The Ballad Of John And Yoko"
top100-uk,1,1969-06-16,ms006377,"The Ballad Of John And Yoko"
top100-uk,1,1969-06-23,ms006377,"The Ballad Of John And Yoko"
top100-uk,3,1969-06-30,ms006377,"The Ballad Of John And Yoko"
top100-uk,3,1969-07-07,ms006377,"The Ballad Of John And Yoko"
top100-uk,11,1969-07-14,ms006377,"The Ballad Of John And Yoko"
top100-uk,15,1969-07-21,ms006377,"The Ballad Of John And Yoko"
top100-uk,22,1969-07-28,ms006377,"The Ballad Of John And Yoko"
top100-uk,27,1969-08-07,ms006377,"The Ballad Of John And Yoko"
top100-uk,37,1969-08-14,ms006377,"The Ballad Of John And Yoko"
top100-uk,38,1969-08-21,ms006377,"The Ballad Of John And Yoko"
top100-uk,32,1962-10-30,ms006421,"Love Me Do"
top100-uk,37,1962-11-06,ms006421,"Love Me Do"
top100-uk,29,1962-11-13,ms006421,"Love Me Do"
top100-uk,23,1962-11-20,ms006421,"Love Me Do"
top100-uk,21,1962-11-27,ms006421,"Love Me Do"
top100-uk,26,1962-12-04,ms006421,"Love Me Do"
top100-uk,19,1962-12-11,ms006421,"Love Me Do"
top100-uk,22,1962-12-18,ms006421,"Love Me Do"
top100-uk,17,1962-12-25,ms006421,"Love Me Do"
top100-uk,24,1963-01-01,ms006421,"Love Me Do"
top100-uk,17,1963-01-08,ms006421,"Love Me Do"
top100-uk,28,1963-01-15,ms006421,"Love Me Do"
top100-uk,37,1963-01-22,ms006421,"Love Me Do"
top100-uk,36,1963-01-29,ms006421,"Love Me Do"
top100-uk,14,1982-10-14,ms006421,"Love Me Do"
top100-uk,5,1982-10-21,ms006421,"Love Me Do"
top100-uk,4,1982-10-28,ms006421,"Love Me Do"
top100-uk,7,1982-11-04,ms006421,"Love Me Do"
top100-uk,15,1982-11-11,ms006421,"Love Me Do"
top100-uk,29,1982-11-18,ms006421,"Love Me Do"
top100-uk,11,1965-04-13,ms006628,"Ticket To Ride"
top100-uk,1,1965-04-20,ms006628,"Ticket To Ride"
top100-uk,1,1965-04-27,ms006628,"Ticket To Ride"
top100-uk,1,1965-05-04,ms006628,"Ticket To Ride"
top100-uk,2,1965-05-11,ms006628,"Ticket To Ride"
top100-uk,3,1965-05-18,ms006628,"Ticket To Ride"
top100-uk,7,1965-05-25,ms006628,"Ticket To Ride"
top100-uk,10,1965-06-01,ms006628,"Ticket To Ride"
top100-uk,14,1965-06-08,ms006628,"Ticket To Ride"
top100-uk,24,1965-06-15,ms006628,"Ticket To Ride"
top100-uk,32,1965-06-22,ms006628,"Ticket To Ride"
top100-uk,30,1976-04-08,ms006745,"Get Back"
top100-uk,28,1976-04-15,ms006745,"Get Back"
top100-uk,32,1976-04-22,ms006745,"Get Back"
top100-uk,38,1976-04-29,ms006745,"Get Back"
top100-uk,8,1964-03-24,ms007596,"Can't Buy Me Love"
top100-uk,1,1964-03-31,ms007596,"Can't Buy Me Love"
top100-uk,1,1964-04-07,ms007596,"Can't Buy Me Love"
top100-uk,1,1964-04-14,ms007596,"Can't Buy Me Love"
top100-uk,2,1964-04-21,ms007596,"Can't Buy Me Love"
top100-uk,4,1964-04-28,ms007596,"Can't Buy Me Love"
top100-uk,7,1964-05-05,ms007596,"Can't Buy Me Love"
top100-uk,13,1964-05-12,ms007596,"Can't Buy Me Love"
top100-uk,15,1964-05-19,ms007596,"Can't Buy Me Love"
top100-uk,22,1964-05-26,ms007596,"Can't Buy Me Love"
top100-uk,25,1964-06-02,ms007596,"Can't Buy Me Love"
top100-uk,30,1964-06-09,ms007596,"Can't Buy Me Love"
top100-uk,38,1964-06-16,ms007596,"Can't Buy Me Love"
top100-uk,48,2010-11-18,ms007771,"Twist And Shout"
top100-uk,69,2010-11-25,ms007771,"Twist And Shout"
top100-uk,2,1970-03-12,ms007930,"Let It Be"
top100-uk,3,1970-03-19,ms007930,"Let It Be"
top100-uk,4,1970-03-26,ms007930,"Let It Be"
top100-uk,7,1970-04-02,ms007930,"Let It Be"
top100-uk,11,1970-04-09,ms007930,"Let It Be"
top100-uk,16,1970-04-16,ms007930,"Let It Be"
top100-uk,26,1970-04-23,ms007930,"Let It Be"
top100-uk,34,1970-04-30,ms007930,"Let It Be"
top100-uk,34,1970-05-07,ms007930,"Let It Be"
top100-uk,46,2010-11-18,ms007930,"Let It Be"
top100-uk,38,2010-11-25,ms007930,"Let It Be"
top100-uk,86,2010-12-02,ms007930,"Let It Be"
top100-uk,80,2010-12-09,ms007930,"Let It Be"
top100-uk,67,2010-12-16,ms007930,"Let It Be"
top100-uk,83,2010-12-23,ms007930,"Let It Be"
top100-uk,100,2010-12-30,ms007930,"Let It Be"
top100-uk,12,1963-08-27,ms008367,"She Loves You"
top100-uk,3,1963-09-03,ms008367,"She Loves You"
top100-uk,1,1963-09-10,ms008367,"She Loves You"
top100-uk,1,1963-09-17,ms008367,"She Loves You"
top100-uk,1,1963-09-24,ms008367,"She Loves You"
top100-uk,1,1963-10-01,ms008367,"She Loves You"
top100-uk,3,1963-10-08,ms008367,"She Loves You"
top100-uk,3,1963-10-15,ms008367,"She Loves You"
top100-uk,3,1963-10-22,ms008367,"She Loves You"
top100-uk,2,1963-10-29,ms008367,"She Loves You"
top100-uk,2,1963-11-05,ms008367,"She Loves You"
top100-uk,3,1963-11-12,ms008367,"She Loves You"
top100-uk,2,1963-11-19,ms008367,"She Loves You"
top100-uk,1,1963-11-26,ms008367,"She Loves You"
top100-uk,1,1963-12-03,ms008367,"She Loves You"
top100-uk,2,1963-12-10,ms008367,"She Loves You"
top100-uk,2,1963-12-17,ms008367,"She Loves You"
top100-uk,2,1963-12-24,ms008367,"She Loves You"
top100-uk,3,1963-12-31,ms008367,"She Loves You"
top100-uk,5,1964-01-07,ms008367,"She Loves You"
top100-uk,5,1964-01-14,ms008367,"She Loves You"
top100-uk,8,1964-01-21,ms008367,"She Loves You"
top100-uk,16,1964-01-28,ms008367,"She Loves You"
top100-uk,19,1964-02-04,ms008367,"She Loves You"
top100-uk,21,1964-02-11,ms008367,"She Loves You"
top100-uk,23,1964-02-18,ms008367,"She Loves You"
top100-uk,28,1964-02-25,ms008367,"She Loves You"
top100-uk,33,1964-03-03,ms008367,"She Loves You"
top100-uk,35,1964-03-10,ms008367,"She Loves You"
top100-uk,10,1963-12-03,ms008465,"I Want To Hold Your Hand"
top100-uk,1,1963-12-10,ms008465,"I Want To Hold Your Hand"
top100-uk,1,1963-12-17,ms008465,"I Want To Hold Your Hand"
top100-uk,1,1963-12-24,ms008465,"I Want To Hold Your Hand"
top100-uk,1,1963-12-31,ms008465,"I Want To Hold Your Hand"
top100-uk,1,1964-01-07,ms008465,"I Want To Hold Your Hand"
top100-uk,2,1964-01-14,ms008465,"I Want To Hold Your Hand"
top100-uk,3,1964-01-21,ms008465,"I Want To Hold Your Hand"
top100-uk,6,1964-01-28,ms008465,"I Want To Hold Your Hand"
top100-uk,7,1964-02-04,ms008465,"I Want To Hold Your Hand"
top100-uk,15,1964-02-11,ms008465,"I Want To Hold Your Hand"
top100-uk,15,1964-02-18,ms008465,"I Want To Hold Your Hand"
top100-uk,17,1964-02-25,ms008465,"I Want To Hold Your Hand"
top100-uk,25,1964-03-03,ms008465,"I Want To Hold Your Hand"
top100-uk,24,1964-03-10,ms008465,"I Want To Hold Your Hand"
top100-uk,25,1964-03-17,ms008465,"I Want To Hold Your Hand"
top100-uk,32,1964-03-24,ms008465,"I Want To Hold Your Hand"
top100-uk,40,1964-04-07,ms008465,"I Want To Hold Your Hand"
top100-uk,33,1963-01-22,ms008474,"Please Please Me"
top100-uk,16,1963-01-29,ms008474,"Please Please Me"
top100-uk,3,1963-02-05,ms008474,"Please Please Me"
top100-uk,3,1963-02-12,ms008474,"Please Please Me"
top100-uk,2,1963-02-19,ms008474,"Please Please Me"
top100-uk,2,1963-02-26,ms008474,"Please Please Me"
top100-uk,3,1963-03-05,ms008474,"Please Please Me"
top100-uk,2,1963-03-12,ms008474,"Please Please Me"
top100-uk,5,1963-03-19,ms008474,"Please Please Me"
top100-uk,7,1963-03-26,ms008474,"Please Please Me"
top100-uk,11,1963-04-02,ms008474,"Please Please Me"
top100-uk,17,1963-04-09,ms008474,"Please Please Me"
top100-uk,22,1963-04-16,ms008474,"Please Please Me"
top100-uk,30,1963-04-23,ms008474,"Please Please Me"
top100-uk,31,1963-04-30,ms008474,"Please Please Me"
top100-uk,32,1983-01-20,ms008474,"Please Please Me"
top100-uk,29,1983-01-27,ms008474,"Please Please Me"
top100-uk,31,1983-02-03,ms008474,"Please Please Me"
top100-uk,90,2010-11-18,ms008784,"I Saw Her Standing There"
top100-uk,23,1963-04-16,ms008928,"From Me To You"
top100-uk,3,1963-04-23,ms008928,"From Me To You"
top100-uk,1,1963-04-30,ms008928,"From Me To You"
top100-uk,1,1963-05-07,ms008928,"From Me To You"
top100-uk,1,1963-05-14,ms008928,"From Me To You"
top100-uk,1,1963-05-21,ms008928,"From Me To You"
top100-uk,1,1963-05-28,ms008928,"From Me To You"
top100-uk,1,1963-06-04,ms008928,"From Me To You"
top100-uk,1,1963-06-11,ms008928,"From Me To You"
top100-uk,2,1963-06-18,ms008928,"From Me To You"
top100-uk,4,1963-06-25,ms008928,"From Me To You"
top100-uk,8,1963-07-02,ms008928,"From Me To You"
top100-uk,13,1963-07-09,ms008928,"From Me To You"
top100-uk,16,1963-07-16,ms008928,"From Me To You"
top100-uk,15,1963-07-23,ms008928,"From Me To You"
top100-uk,17,1963-07-30,ms008928,"From Me To You"
top100-uk,20,1963-08-06,ms008928,"From Me To You"
top100-uk,27,1963-08-13,ms008928,"From Me To You"
top100-uk,37,1963-08-20,ms008928,"From Me To You"
top100-uk,40,1983-04-28,ms008928,"From Me To You"
top100-uk,32,1976-04-08,ms009334,"Strawberry Fields Forever"
top100-uk,34,1976-04-15,ms009334,"Strawberry Fields Forever"
top100-uk,11,1968-03-18,ms010176,"Lady Madonna"
top100-uk,1,1968-03-25,ms010176,"Lady Madonna"
top100-uk,1,1968-04-01,ms010176,"Lady Madonna"
top100-uk,4,1968-04-08,ms010176,"Lady Madonna"
top100-uk,6,1968-04-15,ms010176,"Lady Madonna"
top100-uk,9,1968-04-22,ms010176,"Lady Madonna"
top100-uk,26,1968-04-29,ms010176,"Lady Madonna"
top100-uk,35,1968-05-06,ms010176,"Lady Madonna"
top100-uk,2,1995-12-07,ms026553,"Free As A Bird"
